time,raw_value,voltage_calc,voltage_default
0.536,32822.67645760138,0.0083,32788.7199
0.537,32822.67645760138,0.0083,32788.7199
0.538,32823.69545348157,0.0085,32789.7583
0.539,32823.69545348157,0.0085,32789.7583
0.540,32824.71444936175,0.0087,32790.7966
0.541,32824.71444936175,0.0087,32790.7966
0.542,32823.69545348157,0.0085,32789.7583
0.543,32821.657461721195,0.0082,32787.6816
0.544,32820.63846584101,0.0080,32786.6432
0.545,32823.69545348157,0.0085,32789.7583
0.546,32824.71444936175,0.0087,32790.7966
0.547,32823.69545348157,0.0085,32789.7583
0.548,32821.657461721195,0.0082,32787.6816
0.549,32822.67645760138,0.0083,32788.7199
0.550,32824.71444936175,0.0087,32790.7966
0.551,32822.67645760138,0.0083,32788.7199
0.552,32823.69545348157,0.0085,32789.7583
0.553,32824.71444936175,0.0087,32790.7966
0.554,32823.69545348157,0.0085,32789.7583
0.555,32823.69545348157,0.0085,32789.7583
0.556,32824.71444936175,0.0087,32790.7966
0.557,32823.69545348157,0.0085,32789.7583
0.558,32821.657461721195,0.0082,32787.6816
0.559,32820.63846584101,0.0080,32786.6432
0.560,32821.657461721195,0.0082,32787.6816
0.561,32823.69545348157,0.0085,32789.7583
0.562,32823.69545348157,0.0085,32789.7583
0.563,32822.67645760138,0.0083,32788.7199
0.564,32821.657461721195,0.0082,32787.6816
0.565,32822.67645760138,0.0083,32788.7199
0.566,32822.67645760138,0.0083,32788.7199
0.567,32822.67645760138,0.0083,32788.7199
0.568,32826.752441122124,0.0090,32792.8733
0.569,32822.67645760138,0.0083,32788.7199
0.570,32821.657461721195,0.0082,32787.6816
0.571,32822.67645760138,0.0083,32788.7199
0.572,32823.69545348157,0.0085,32789.7583
0.573,32823.69545348157,0.0085,32789.7583
0.574,32823.69545348157,0.0085,32789.7583
0.575,32820.63846584101,0.0080,32786.6432
0.576,32821.657461721195,0.0082,32787.6816
0.577,32819.619469960824,0.0079,32785.6048
0.578,32820.63846584101,0.0080,32786.6432
0.579,32822.67645760138,0.0083,32788.7199
0.580,32821.657461721195,0.0082,32787.6816
0.581,32821.657461721195,0.0082,32787.6816
0.582,32818.60047408064,0.0077,32784.5665
0.583,32822.67645760138,0.0083,32788.7199
0.584,32822.67645760138,0.0083,32788.7199
0.585,32823.69545348157,0.0085,32789.7583
0.586,32821.657461721195,0.0082,32787.6816
0.587,32822.67645760138,0.0083,32788.7199
0.588,32820.63846584101,0.0080,32786.6432
0.589,32826.752441122124,0.0090,32792.8733
0.590,32823.69545348157,0.0085,32789.7583
0.591,32823.69545348157,0.0085,32789.7583
0.592,32822.67645760138,0.0083,32788.7199
0.593,32822.67645760138,0.0083,32788.7199
0.594,32821.657461721195,0.0082,32787.6816
0.595,32821.657461721195,0.0082,32787.6816
0.596,32823.69545348157,0.0085,32789.7583
0.597,32819.619469960824,0.0079,32785.6048
0.598,32823.69545348157,0.0085,32789.7583
0.599,32823.69545348157,0.0085,32789.7583
0.600,32823.69545348157,0.0085,32789.7583
0.601,32820.63846584101,0.0080,32786.6432
